COD_MUNICIPIO_RES_7,ANIO_REGISTRO,MES_REGISTRO,TEMPERATURA,HUMEDAD_RELATIVA
2105427,2008,7,25.426,65.992
2105450,2007,8,29.012,44.234
2106326,2008,8,26.243,67.46
2106904,2007,9,30.933,59.05
2107407,2003,11,26.38,88.892
2107407,2008,9,31.464,46.2
2108207,2007,7,26.709,60.839
2108306,2009,7,25.695,85.548
2108900,2005,8,29.552,44.056
2108900,2008,9,31.464,46.2
2110302,2006,9,31.478,43.617
2111300,2014,7,25.923,82.831
2111763,2014,6,24.763,92.342
2112506,2014,8,29.552,70.129
2114007,2009,10,30.898,63.847
2202000,2006,6,-1032300282.255,81.267
2203701,2015,6,25.726,79.067
2211001,2011,4,25.969,96.65
2301109,2007,11,29.934,68.058
2400208,2012,10,29.665,65.839
2400208,2014,7,27.754,79.161
2400208,2015,10,29.738,67.476
2403251,2003,8,25.1,88.508
2403251,2006,6,24.4,89.383
2403251,2008,5,24.98,87.935
2403251,2013,5,25.217,88.129
2601102,2012,10,30.765,52.008
2601102,2015,10,31.269,49.645
2604106,2015,5,25.648,90.984
2609600,2015,8,24.586,89.315
2700300,2012,1,26.904,79.089
2800308,2004,5,25.765,90.839
2800308,2008,12,27.26,77.5
2801207,2008,3,26.241,88.129
2931301,2013,5,22.971,89.831
3102605,2003,7,16.987,67.371
3105608,2011,12,21.97,98.96
3106705,2006,8,20.9,53.984
3106705,2008,9,20.798,62.533
3115300,2014,7,19.266,85.952
3131703,2008,7,18.142,76.081
3136702,2011,9,21.003,79.967
3147402,2010,1,21.31,95.968
3170107,2008,11,23.414,94.267
3170107,2009,4,21.972,93.158
3200136,2003,3,23.639,86.444
3200607,2005,9,-1032300282.255,89.358
3200607,2010,7,-1031226088.413,89.056
3201308,2015,4,23.213,86.908
3303906,2014,12,23.138,91.992
3304557,2013,10,-1031226088.413,89.129
3305752,2003,3,22.909,92.379
3305752,2008,12,21.862,97.056
3506003,2003,3,22.527,94.379
3506003,2005,3,22.526,94.581
3506003,2015,5,19.707,90.911
3506003,2015,7,19.877,76.621
3516200,2008,12,21.168,96.556
3516200,2010,12,22.179,96.016
3520509,2008,4,21.006,96.092
3520509,2015,10,23.121,74.016
3522505,2006,5,17.902,83.468
3522505,2008,6,17.554,86.375
3529005,2005,7,19.05,70.097
3529005,2013,7,18.69,77.073
3549102,2013,10,20.316,85.194
3550308,2004,5,18.42,90.944
3552205,2006,4,20.74,92.475
3552205,2007,2,23.113,97.25
3552205,2008,9,18.987,70.417
3552205,2010,5,19.192,87.806
3552205,2012,11,21.881,88.758
3552205,2013,5,19.691,87.242
3555406,2009,5,-1031226088.413,89.831
4104808,2005,10,21.593,94.573
4105904,2006,11,24.227,86.8
4105904,2008,4,22.045,93.567
4106605,2003,11,21.689,88.283
4106902,2005,10,20.176,92.71
4113700,2008,2,21.347,92.267
4117909,2009,5,20.157,92.766
4204905,2007,2,22.819,94.464
4205407,2007,4,21.358,94.558
4210100,2003,2,22.201,94.696
4210100,2009,12,21.589,96.645
4210100,2012,2,21.311,89.828
4210100,2014,9,18.239,85.225
4310108,2010,9,17.349,88.525
4312401,2007,9,18.35,91.442
4312401,2009,6,13.148,87.492
4316600,2015,5,15.614,95.347
4321402,2004,9,19.498,86.425
5008305,2015,6,21.046,81.658
5100201,2005,7,24.945,45.581
5100250,2004,3,23.877,97.927
5100250,2008,5,23.4,93.556
5101258,2014,8,27.837,39.669
5102504,2011,7,24.799,52.468
5102637,2010,1,25.012,100.492
5102637,2012,8,27.839,34.282
5103403,2003,9,29.011,41.833
5105150,2015,11,25.895,96.383
5105176,2005,3,24.941,98.258
5105259,2005,1,24.049,96.677
5105580,2004,4,24.145,97.125
5105580,2015,3,24.277,98.798
5106158,2013,11,24.709,98.183
5106299,2007,1,24.712,95.46
5106299,2009,1,24.234,98.315
5106422,2003,4,24.075,95.675
5106422,2013,10,24.8,95.694
5107602,2015,4,24.412,95.742
5107925,2010,6,24.864,60.742
5107958,2012,4,25.075,96.075
5108402,2011,2,25.45,95.911
5108501,2012,4,24.485,94.975
5108907,2010,8,27.739,37.968
5218904,2012,4,24.509,93.058
5220454,2009,2,22.789,94.795
5221858,2012,11,23.698,93.175
5300108,2014,6,21.708,69.258
1100098,2008,4,23.276,98.283
1100106,2009,7,23.785,91.847
1100114,2014,11,25.218,99.225
1100122,2013,7,24.797,79.718
1100130,2013,2,25.858,100.509
1100304,2010,2,25.721,99.75
1100320,2011,9,26.615,66.658
1100338,2010,3,25.476,97.839
1100346,2013,8,26.687,44.548
1100601,2003,7,25.046,62.508
1100601,2003,11,24.848,98.458
1100809,2013,9,26.24,91.033
1100809,2014,10,26.377,98.258
1101401,2003,7,25.046,62.508
1101401,2011,11,24.642,99.1
1200013,2009,7,24.68,90.395
1200013,2009,10,27.122,84.734
1200013,2015,6,24.574,87.775
1200179,2009,9,26.501,84.45
1200179,2010,1,25.838,96.145
1200179,2015,10,27.406,83.758
1200203,2015,4,25.984,95.475
1200328,2010,8,27.898,83.065
1200351,2005,4,26.077,98.483
1200351,2007,7,25.271,92.435
1200427,2003,9,26.403,75.4
1200500,2003,5,23.304,95.5
1200500,2008,12,24.481,96.581
1200609,2005,9,28.216,73.783
1200609,2014,4,25.936,98.217
1300102,2008,6,26.094,89.492
1300144,2006,1,25.159,97.911
1300201,2006,8,25.736,94.363
1300201,2015,2,26.531,99.42
1300300,2010,1,25.97,99.484
1300607,2005,8,25.841,89.492
1300607,2010,2,27.139,100.009
1300706,2007,10,25.011,96.347
1301001,2010,5,27.2,85.863
1301209,2012,6,24.882,95.008
1301407,2013,12,24.751,94.5
1301506,2014,3,24.417,97.008
1301654,2006,3,25.742,93.355
1301654,2015,5,25.583,95.081
1301803,2003,2,24.313,95.063
1302306,2004,11,26.617,93.667
1302306,2006,5,25.526,96.444
1302306,2009,7,25.699,91.637
1302306,2011,4,26.354,95.742
